practiceIndex,scrumElement,scrumRule,scrumPractice
1.01,Product Owner,The Product Owner is responsible for maximizing the value of the product and the work of the Development Team.,"Responsible for the Product Backlog, including its content, availability, and ordering"
1.03,Product Owner,The Product Owner is responsible for maximizing the value of the product and the work of the Development Team.,Representing the desires of stakeholders in the Product Backlog (managing expectations upwards)
1.04,Product Owner,The Product Owner is responsible for maximizing the value of the product and the work of the Development Team.,Ensuring the Development Team understands items in the Product Backlog to the level needed (managing expectations downwards)
1.02,Product Owner,The Product Owner is responsible for maximizing the value of the product and the work of the Development Team.,Updating Product Backlog items at any time by his own discretion. For this PO can use different prioritization techniques
1.08,Product Owner,The Product Owner is the sole person responsible for managing the Product Backlog.,"The Product Owner is responsible for the Product Backlog, including its content, availability, and ordering the items to best achieve goals and missions"
1.09,Product Owner,The Product Owner is the sole person responsible for managing the Product Backlog.,Optimizing the value of the work the Development Team performs
1.1,Product Owner,The Product Owner is the sole person responsible for managing the Product Backlog.,"Ensuring that the Product Backlog is visible, transparent, and clear to all, and shows what the Scrum Team will work on next"
1.11,Product Owner,"For the Product Owner to succeed, the entire organization must respect his or her decisions.",The Product Owner's decisions are visible in the content and ordering of the Product Backlog
1.07,Product Owner,The Product Owner is the sole person responsible for managing the Product Backlog.,Clearly expressing Product Backlog items;
1.12,Product Owner,"For the Product Owner to succeed, the entire organization must respect his or her decisions.",Ensuring that no one is telling the Development Team to work from a different set of requirements
1.13,Product Owner,"For the Product Owner to succeed, the entire organization must respect his or her decisions.",Assessing progress toward completing projected work by the desired time for the goal. This information is made transparent to all stakeholders.
1.14,Product Owner,"For the Product Owner to succeed, the entire organization must respect his or her decisions.",Deciding when to release Increment
1.06,Product Owner,The Product Owner is the sole person responsible for managing the Product Backlog.,"The Product Owner is one person, not a committee"
1.05,Product Owner,The Product Owner is responsible for maximizing the value of the product and the work of the Development Team.,"Communicating product vision, strategy and roadmap"
2.03,Development Team,The Development Team consists of professionals who do the work of delivering a potentially releasable Increment of 'Done' product at the end of each Sprint.,"Accountability for delivering increment is belonging to the Development Team as a whole, not individual senior team members. Only members of the Development Team create the Increment."
